Id,department,faculty,publication,publication_type,node_type
4874,,,testing artificial intelligence knowledge with interactive web system [veb sistem za polaganje testova znanja iz inteligentnih sistema],conference paper,paper
4468,,,the vsds environment based laboratory in computer architecture and organisation,article,paper
4469,,,ewisens: educational wireless sensor network simulator,conference paper,paper
4470,,,sentiment classification of documents in serbian: the effects of morphological normalization,conference paper,paper
4471,,,text content analysis using ontology and semantic similarity [analiziranje sadrzaja tekstova upotrebom ontologije i semanticke slicnosti],conference paper,paper
4472,,,cal2: computer aided learning in computer architecture laboratory,article,paper
4801,,,a module for automatic assessment and verification of students' work in digital logic design,conference paper,paper
4474,,,software framework for development and running multiplayer games [softverski sistem za razvoj i pokretanje igara za vise igraca],conference paper,paper
4475,,,castle: computer architecture self-testing and learning system,conference paper,paper
4790,,,sdlds-system for digital logic design and simulation,article,paper
4477,,,insos - educational system for teaching intelligent systems,article,paper
4744,,,a survey and evaluation of simulators suitable for teaching courses in computer architecture and organization,review,paper
4479,,,algorithm for calculating influence of power transformer oil temperature change on the accuracy of all-acoustic non-iterative partial discharge localization,article,paper
4480,,,a software system for determining the semantic similarity of short texts in serbian [softverski sistem za odredivanje semanticke slicnosti kratkih tekstova na srpskom jeziku],conference paper,paper
4481,,,reliable baselines for sentiment analysis in resource-limited languages: the serbian movie review dataset,conference paper,paper
4482,,,implementation of android application for faculty employees [realizacija android aplikacije za potrebe zaposlenih na fakultetu],conference paper,paper
4483,,,a memory system for education,article,paper
4484,,,software package for an educational computer system,article,paper
4485,,,flexible web-based educational system for teaching computer architecture and organization,article,paper
4863,,,software system for expert systems learning,conference paper,paper
4855,,,a systematic approach to generation of new ideas for phd research in computing,book chapter,paper
4488,,,serious gaming based on kinect technology for autistic children in serbia,conference paper,paper
4792,,,digital logic simulator,conference paper,paper
4490,,,integration of simulators in virtual 3d computer science classroom,conference paper,paper
4491,,,a survey and evaluation of state-of-the-art intelligent question routing systems,article,paper
4862,,,nutie - a modern open source natural language processing toolkit,conference paper,paper
4799,,,a classification of elearning tools based on the applied multimedia,article,paper
4494,,,feasibility of applying data mining techniques for predicting technical difficulties during laparoscopic cholecystectomy based on routine patient work-up in a small community hospital,article,paper
4866,,,a classification of mutational approaches for genetic search,conference paper,paper
4867,,,a software agent for social networks using natural language processing techniques,conference paper,paper
4497,,,wasp: a web-based simulator for an educational pipelined processor,article,paper
4498,,,a survey of intelligent question routing systems,conference paper,paper
4499,,,sentiment classification of documents in serbian: the effects of morphological normalization and word embeddings,article,paper
4500,,,semantic similarity of short texts in languages with a deficient natural language processing support,article,paper
4501,,,discovering models of parallel workflow processes from incomplete event logs,conference paper,paper
4502,,,an interactive tool for uml class model evolution in database applications,article,paper
4503,,,a retrospective on user interface development technology,review,paper
4504,,,towards understanding of classes versus data types in conceptual modeling and uml,article,paper
4505,,,domain mapping using extended uml object diagrams,article,paper
4533,,,control flow regeneration for software pipelined loops with conditions,review,paper
4507,,,discovering block-structured parallel process models from causally complete event logs,article,paper
4534,,,predicated software pipelining technique for loops with conditions,conference paper,paper
4509,,,capsule-based user interface modeling for large-scale applications,article,paper
4510,,,empirical analysis of gui programming concerns,article,paper
4511,,,socratenon - a web-based training system with an intellect,conference paper,paper
4876,,,a classification and comparison of data mining algorithms for wireless sensor networks,conference paper,paper
4539,,,sources of parallelism in software pipelining loops with conditional branches,article,paper
4514,,,a tree-driven multiple-rate model of time measuring in object-oriented real-time systems,conference paper,paper
4765,,,research and development in e-business on the internet,article,paper
4517,,,automatic model transformations using extended uml object diagrams in modeling environments,article,paper
4518,,,on the semantics of associations and association ends in uml,article,paper
4877,,,a survey of object-relational transformation patterns for high-performance uml-based applications,conference paper,paper
4520,,,capwise-a domain-specific language for developing graphical user interfaces,conference paper,paper
4555,,,formal model of software pipelining loops with conditions,conference paper,paper
4522,,,practical large-scale model-driven development of business applications with an executable uml,conference paper,paper
5236,,,software support for ground control station for unmanned aerial vehicle,conference paper,paper
4524,,,a heuristic algorithm for dynamic task scheduling in highly parallel computing systems,article,paper
4525,,,visualization of 3d fields and medical data and using vrml,article,paper
4526,,,modeling distributed system entities which communicate asynchronous via message passing in java,article,paper
4527,,,evaluation of simulators for teaching computer networks,article,paper
4529,,,interactive visualization of 3d fields and images on inexpensive workstations using vrml,conference paper,paper
4530,,,web laboratory for computer network,article,paper
4531,,,java cryptography &amp; attribute certificate management,article,paper
4848,,,an accurate performance model for network-on-chip and multicomputer interconnection networks,article,paper
4535,,,dynamic task scheduling with precedence constraints and communication delays,conference paper,paper
5252,,,bridging user context and design models to build adaptive user interfaces,article,paper
5253,,,reusable design of data visualization software architecture for unmanned aerial vehicles,article,paper
4538,,,routing function and deadlock avoidance in a star graph interconnection network,article,paper
4781,,,reengineering the sleep simulator in a concurrent and distributed programming course,article,paper
4541,,,computer network simulation and visualization tool for educational purpose,conference paper,paper
4542,,,fault tolerance of the star graph interconnection network,article,paper
4544,,,a comparison and security analysis of the cloud computing software platforms,conference paper,paper
4545,,,web-based grid-enabled interaction with 3d medical data,article,paper
4546,,,communication aspects of the star graph interconnection network,article,paper
5268,,,improving design of ground control station for unmanned aerial vehicle: borrowing from design patterns,conference paper,paper
4548,,,wnetsim: a web-based computer network simulator,article,paper
5272,,,formal specification of usability measures in model-driven development of context-sensitive user interfaces,conference paper,paper
4850,,,explanation of performance degradation in turn model,article,paper
4551,,,fpga accelerator for floating-point matrix multiplication,article,paper
4834,,,coala - system for visual representationof cryptography algorithms,article,paper
4853,,,flow-based anomaly intrusion detection system using two neural network stages,article,paper
4554,,,java cryptography &amp; x.509 authentication,review,paper
5280,,,languages for model-driven development of user interfaces: review of the state of the art,review,paper
4755,,,approach to characterization of parallel applications for dsm systems,conference paper,paper
4558,,,an example of the efficient message protocol for industrial lan,article,paper
4835,,,self-similar cross-traffic analysis as a foundation for choosing among active available bandwidth measurement strategies,article,paper
4828,,,improving source code plagiarism detection: lessons learned,conference paper,paper
4830,,,"a software tool that helps teachers in handling, processing and understanding the results of massive exams",conference paper,paper
4757,,,memory consistency models for shared memory multiprocessors and dsm systems,conference paper,paper
4758,,,scowl: a tool for characterization of parallel workload and its use on splash-2 application suite,conference paper,paper
4816,,,parallelization of gst algorithm for source code similarity detection [paralelizacija gst algoritama za detekciju slicnosti u programskom kodu],conference paper,paper
4760,,,automating the knowledge assessment workflow for large student groups: a development experience,article,paper
4566,,,effects of user behavior and internet provider policy on the accessibility of sezampro on-line system,conference paper,paper
4567,,,cisc versus risc processors for graphics: a simulation study,article,paper
4568,,,web performance evaluation for internet of things applications,article,paper
4609,,,distributed shared memory: concepts and systems,article,paper
4777,,,identity provider deployment based on container technology,conference paper,paper
4571,,,development of electronic forms and a java parser for processing data about university teaching stuff in accreditation process,conference paper,paper
4572,,,comparison of three protocols for entry consistency maintenance based on mva algorithm,conference paper,paper
4573,,,remote control of industrial robot lola 50 using wireless communication and android device [udaljeno upravljanje industrijskim robotom lola 50 upotrebom wireless komunikacije i android uredaja],conference paper,paper
4767,,,test: tools for evaluation of students' tests - a development experience,conference paper,paper
4577,,,intelligent crawler for web forums based on improved regular expressions,conference paper,paper
4578,,,a comparison of three protocols for entry consistency maintenance based on mva algorithm,conference paper,paper
4579,,,reflective memory system based on a grid of buses that selectively uses relaxed memory consistency models,conference paper,paper
4818,,,prototype implementation of segment assembling software,article,paper
4581,,,an analysis of scientific publications from serbia: the case of computer science,conference paper,paper
4821,,,a comparison of software tools for plagiarism detection in programming assignments,article,paper
4583,,,topic models and advanced algorithms for profiling of knowledge in scientific papers,conference paper,paper
4772,,,a modified hill-climbing algorithm for knowledge test assembly based on classified criteria,article,paper
4585,,,the book cipher algorithm,article,paper
4586,,,once upon a pocket: programmable calculators from the late 1970s and early 1980s and the social networks around them,article,paper
4587,,,a survey and classifcation of wireless sensor networks simulators based on the domain of use,article,paper
4634,,,the interactive development and testing system for a risc-style processor,article,paper
4589,,,register-level communication in speculative chip multiprocessors,article,paper
4642,,,hardware implementation of the mechanism of multiprocessing,article,paper
4826,,,extending valgrind framework with the mips msa support,conference paper,paper
4593,,,graphical processing unit-based parallelization of the open shortest path first and border gateway protocol routing protocols,article,paper
4595,,,the word-invalidate cache coherence protocol,article,paper
4815,,,use case analysis of openacc directives in the implementation of image processing algorithms [analiza primene openacc direktiva u implementaciji algoritama za obradu slike],conference paper,paper
4598,,,an analysis of chain characteristics in the cryptanalytic tmto method,article,paper
4599,,,comparative performance evaluation of the avl and red-black trees,conference paper,paper
4724,,,improving schema issue advisor in the azure sql database,conference paper,paper
4601,,,speeding up ip lookup procedure in software routers by means of parallelization,conference paper,paper
4602,,,interconnection networks in petascale computer systems: a survey,article,paper
4823,,,evolution and trends in gpu computing,conference paper,paper
4604,,,towards an improved integrated coherence and speculation protocol,conference paper,paper
4605,,,multithreaded communication controller for efficient dsm multiprocessors,article,paper
4606,,,low-level implementation of the sisc protocol for thread-level speculation on a multi-core architecture,article,paper
4607,,,balancing between time and memory requirements in cryptanalysis [kompromis izmedu memorijskih i vremenskih zahteva u kriptoanalitickim postupcima],conference paper,paper
4803,,,a simulation environment for the on-line monitoring of a fault tolerant flight control computer,conference paper,paper
4610,,,manual parallelization versus state-of-the-art parallelization techniques: the spec cpu2006 as a case study,article,paper
4611,,,"electroencephalographic (eeg) correlates of some activities which may alter consciousness: the transcendental meditation technique, musicogenic states, microwave resonance relaxation, healer/healee interaction, and alertness/drowsiness",article,paper
4612,,,gpu-based paralelization of the bgp protocol [paralelizacija izbora najboljih ruta u bgp protokolu pomocu grafickog procesora],conference paper,paper
4613,,,an improved on-line monitoring technique for a fault-tolerant computing node,conference paper,paper
4639,,,risc-style hardware accelerator for operating systems,article,paper
4615,,,parallelizing general histogram application for cuda architectures,conference paper,paper
4616,,,improving performance of a dsm system by the communication controller optimizations,conference paper,paper
4617,,,an overview of microwave resonance therapy and eeg correlates of microwave resonance relaxation and other consciousness altering techniques,review,paper
4619,,,simulation study of hardware-oriented dsm approaches,conference paper,paper
4827,,,analysis of cpu and gpu implementations of convolution reverb effect,article,paper
4623,,,improved rms for the pc environment,article,paper
4624,,,"hardware approaches to cache coherence in shared-memory multiprocessors, part 1",article,paper
4817,,,automated multi-platform testing and code coverage analysis of the cp2k application,conference paper,paper
4820,,,application of graphics processing units in audio signal processing [primena grafickih procesora u obradi zvucnih signala],conference paper,paper
4627,,,new cache architecture concept: the split temporal/spatial cache,conference paper,paper
4824,,,data sorting using graphics processing units [sortiranje podataka koriscenjem grafickih procesorskih jedinica],conference paper,paper
4811,,,evaluation and analysis of an on-line error detection monitoring technique,article,paper
4630,,,gpu-based implementation of reverb effect,conference paper,paper
4648,,,an operating system accelerator,article,paper
4632,,,an aggressive register-level communication in a speculative chip multiprocessor,conference paper,paper
4633,,,the impact of out-of-order message delivery on cache coherence protocols,article,paper
4717,,,a streaming dataflow implementation of parallel cocke–younger–kasami parser,book chapter,paper
4778,,,advice-educational system for teaching database courses,article,paper
4637,,,hardware support to operations of relational algebra.,conference paper,paper
4638,,,multipurpose time recursive phase locked loop,article,paper
4840,,,an overview of selected hybrid and reconfigurable architectures,conference paper,paper
4747,,,principal risk in implementation of a sophisticated erp system at a higher education institutions,conference paper,paper
4643,,,effect of ict on the social dimension of short-term and long-term alignment of the participants in the construction of a knowledge society,conference paper,paper
4736,,,mobilepdr: a mobile medical information system featuring update via internet,article,paper
4886,,,dataflow-based parallelization of control-flow algorithms,book chapter,paper
4846,,,an overview of selected heterogeneous and reconfigurable architectures,article,paper
4649,,,proposal for implementing the eu psi directive in serbia,conference paper,paper
4650,,,"adaptive middleware for intelligent, context sensitive applications",conference paper,paper
4651,,,automatic extraction of ict competences from unstructured sources,conference paper,paper
4652,,,prolog/rex - a way to extend prolog for better knowledge representation,article,paper
4653,,,the role of knowledge management solutions in enterprise business processes,conference paper,paper
4654,,,main challenges in using lod in emergency management,conference paper,paper
4655,,,different approaches to real-time application allocation to a multiprocessor system,conference paper,paper
4656,,,ontology-mediated integration of knowledge resources in r&amp;d organizations,conference paper,paper
4657,,,combined energy hub optimisation and demand side management for buildings,article,paper
4658,,,integration platform for de-centralized investment projects appraisal,book chapter,paper
4659,,,a decision support system for holistic technology assessment,conference paper,paper
4660,,,maturity and applicability assessment of semantic web technologies,conference paper,paper
4661,,,a heuristic algorithm for real-time application allocation to multimicrocomputer,article,paper
4662,,,semantic classifier for affective computing,conference paper,paper
4663,,,best-based expert diagnostic system for the aluminum industry,article,paper
4664,,,design knowledge representation in prolog/rex,article,paper
4665,,,comparative analysis of commercial knowledge management solutions and their role in enterprises,article,paper
4666,,,applicability assessment of semantic web technologies in human resources domain,conference paper,paper
4667,,,energy hub modelling and optimisation: an analytical case-study,conference paper,paper
4668,,,integrating multiple paradigms within the blackboard framework,article,paper
4669,,,decision support tool for used oil regeneration technologies assessment and selection,article,paper
4670,,,decision aid for sustainable industrial siting,conference paper,paper
5167,,,web4web e-collaboration tools,article,paper
4672,,,semantic web based integration of knowledge resources for expertise finding,book chapter,paper
4673,,,ontology-based competency management: the case study of the mihajlo pupin institute,article,paper
4674,,,truth maintenance in blackboard environment,article,paper
4675,,,applying connectionist model to natural language understanding,article,paper
4676,,,semantic approach to knowledge processing,article,paper
4677,,,chronic toxicity of the sava river (se europe) sediments and river water to the algae pseudokirchneriella subcapitata,article,paper
4678,,,ontology-based facility data model for energy management,article,paper
4679,,,probabilistic semantic classifier,conference paper,paper
4680,,,using the linked data approach in european e-government systems: example from serbia,article,paper
4681,,,citizen-centric linked data apps for emergency response systems,book chapter,paper
4682,,,invex: investment advisory expert system,article,paper
4683,,,a blackboard framework on top of prolog,article,paper
5142,,,a generic framework for web-based intelligent decision support systems,article,paper
4685,,,overview of some truth maintenance systems,article,paper
4686,,,using truth maintenance systems a tutorial,article,paper
4687,,,situation awareness and decision support tools for response phase of emergency management: a short survey,conference paper,paper
4688,,,semantic web technologies: ready for adoption?,review,paper
4689,,,integration of knowledge resources in u&amp;d organizations: the case of mihajlo pupin institute,book chapter,paper
4690,,,a natural language processing for semantic web services,conference paper,paper
4691,,,dynamic workflows for airport emergency management training,conference paper,paper
4692,,,ontology enabled decision support system for emergency management at airports,conference paper,paper
4693,,,applicability assessment of semantic web technologies,article,paper
4694,,,exploratory spatio-temporal analysis of linked statistical data,article,paper
4695,,,a framework for engineering intelligent control systems,article,paper
4696,,,smart-phone application for autonomous indoor positioning,conference paper,paper
4697,,,representation of texts in structured form,article,paper
4698,,,expert diagnostic systems for industrial plants: a case study in the aluminum industry,conference paper,paper
4699,,,linked open data infrastructure for public sector information: example from serbia,conference paper,paper
4700,,,fides - a financial decision aid that can be trusted,conference paper,paper
4701,,,best-based diagnostic systems for industrial plants,conference paper,paper
4702,,,nimfa - natural language implicit meaning formalization and abstraction,article,paper
4703,,,application of complex event processing paradigm in situation awareness and management,conference paper,paper
4704,,,e-collaboration tool for technology foresight exercise,review,paper
4705,,,green accounting for greener energy,review,paper
4706,,,prolog/rex inference engine,article,paper
4707,,,integrating serbian public data into the lod cloud,conference paper,paper
4708,,,blackboard metaphor in tactical decision making,article,paper
4709,,,applying neural networks to knowledge representation and determination of its meaning,conference paper,paper
4710,,,semantic web services with soul,conference paper,paper
4711,,,european robotics and intelligent systems conference,article,paper
4712,,,a web-based decision support tool for groundwater remediation technologies selection,article,paper
4713,,,information technology for cleaner water,conference paper,paper
4714,,,big data and quality: a literature review,conference paper,paper
4715,,,knowledge representation with soul,article,paper
